State,Filing URL,Avg Filing Fee,Processing Time,Notes
Alabama,https://www.sos.alabama.gov/business-entities,200,1-2 weeks,Online filings via Secretary of State
Alaska,https://www.commerce.alaska.gov/web/cbpl/Corporations.aspx,250,2-3 weeks,File Articles of Organization online
Arizona,https://ecorp.azcc.gov/,50,3-5 business days,Arizona requires LLC publication after formation
Arkansas,https://www.sos.arkansas.gov/business-commercial-services-bcs,45,1 week,Online business services available
California,https://bizfileonline.sos.ca.gov/,70,5-10 business days,Annual $20 Statement of Information required
Colorado,https://www.sos.state.co.us/biz/FileDoc.do,50,2-3 business days,File online through Secretary of State
Connecticut,https://portal.ct.gov/SOTS/Business-Services/Business-Services,120,3-5 business days,Form online with Business Services Division
Delaware,https://corp.delaware.gov/,90,3-5 business days,Known for favorable business laws
Florida,https://dos.myflorida.com/sunbiz/start-business/,125,1-2 business days,Online filing system Sunbiz is quick and reliable
Georgia,https://ecorp.sos.ga.gov/,100,5-7 business days,Name reservation optional but recommended
Hawaii,https://hbe.ehawaii.gov/,50,2-3 business days,Use Hawaii Business Express portal
Idaho,https://sosbiz.idaho.gov/,100,2-3 business days,LLC setup available fully online
Illinois,https://www.ilsos.gov/corporatellc/,150,3-5 business days,Filing via Secretary of State
Indiana,https://inbiz.in.gov/,100,1-2 business days,Use INBiz portal for all filings
Iowa,https://sos.iowa.gov/business/,50,3-5 business days,Annual Report required every two years
Kansas,https://www.kansas.gov/businesscenter/,165,3-5 business days,Annual report fee due each year
Kentucky,https://onestop.ky.gov/Pages/default.aspx,40,3-5 business days,One Stop Business Portal for registrations
Louisiana,https://geauxbiz.sos.la.gov/,100,5-10 business days,Use GeauxBiz for filings and licensing
Maine,https://www.maine.gov/sos/cec/corp/index.html,175,3-5 business days,Filing by mail or via third-party service
Maryland,https://egov.maryland.gov/BusinessExpress,100,2-3 business days,Annual reports required after formation
Massachusetts,https://corp.sec.state.ma.us/corpweb/CorpSearch/CorpSearch.aspx,500,3-5 business days,Online and in-person options available
Michigan,https://www.michigan.gov/lara/bureau-list/cscl,50,2-3 business days,File through Michigan LARA system
Minnesota,https://mblsportal.sos.state.mn.us/,50,3-5 business days,Quickest filing is online
Mississippi,https://corp.sos.ms.gov/,50,3-5 business days,Annual report is free but required
Missouri,https://bsd.sos.mo.gov/,50,3-5 business days,No annual LLC fee in Missouri
Montana,https://biz.sosmt.gov/,100,1 week,Annual report required each year
Nebraska,https://sos.nebraska.gov/business-services/start-business,100,3-5 business days,Publication of formation required
Nevada,https://www.nvsilverflume.gov/,75,3-5 business days,Higher-than-average fees and initial list required
New Hampshire,https://www.sos.nh.gov/corporation-division,100,3-5 business days,File online or by mail
New Jersey,https://www.nj.gov/treasury/revenue/,125,3-5 business days,Filing handled through Department of Treasury
New Mexico,https://portal.sos.state.nm.us/BFS/online/Account,50,3-5 business days,No annual reports required
New York,https://www.dos.ny.gov/corps/llccorp.html,200,3-5 business days,Must publish formation in two newspapers
North Carolina,https://www.sosnc.gov/Guides/launching_a_business,125,2-3 business days,File Articles of Organization online
North Dakota,https://firststop.sos.nd.gov/,125,3-5 business days,File via FirstStop portal
Ohio,https://bsportal.ohiosos.gov/,135,2-3 business days,Expedited filing options available
Oklahoma,https://www.sos.ok.gov/corp/filing.aspx,99,3-5 business days,Online and paper forms accepted
Oregon,https://sos.oregon.gov/business/pages/register.aspx,100,1-2 weeks,Annual report and renewal fee required
Pennsylvania,https://www.dos.pa.gov/BusinessCharities/Business/Pages/default.aspx,125,2-3 business days,Filing is online and affordable
Rhode Island,https://www.sos.ri.gov/divisions/business-services,150,3-5 business days,Annual reports required
South Carolina,https://sos.sc.gov/,125,2-3 business days,Use Business Entities Online portal
South Dakota,https://sosenterprise.sd.gov/BusinessServices/,150,2-3 business days,Quickest processing via online system
Tennessee,https://tnbear.tn.gov/Ecommerce/,300,5-7 business days,Filing fee based on number of members
Texas,https://www.sos.state.tx.us/corp/llc.shtml,70,2-3 business days,File Form 205 online via SOSDirect
Utah,https://corporations.utah.gov/,125,3-5 business days,Fast online processing through state portal
Vermont,https://sos.vermont.gov/corporations/,100,2-3 business days,Annual report due every year
Virginia,https://cis.scc.virginia.gov/,100,3-5 business days,Use Clerkâ€™s Information System (CIS)
Washington,https://www.sos.wa.gov/corps/llc/,200,3-5 business days,Separate state and city filings may apply
West Virginia,https://business4.wv.gov/Pages/default.aspx,100,3-5 business days,One Stop Business Portal simplifies filing
Wisconsin,https://www.wdfi.org/corporations/,100,2-3 business days,Register online through DFI site
Wyoming,https://wyobiz.wyo.gov/,100,3-5 business days,Low fees and no state income tax